电影名称,导演,电影类型,国家,上映年份,评分,评论人数
让子弹飞,姜文,剧情/喜剧/动作/西部,中国大陆 / 中国香港,2010,9.0,1812975
十二怒汉,西德尼·吕美特,剧情,美国,1957,9.4,537275
海蒂和爷爷,阿兰·葛斯彭纳,剧情/家庭/冒险,德国 / 瑞士,2015,9.3,700298
何以为家,娜丁·拉巴基,剧情,黎巴嫩 / 美国 / 法国 / 塞浦路斯 / 卡塔尔 / 英国,2018,9.1,1110333
猫鼠游戏,史蒂文·斯皮尔伯格,剧情/传记/犯罪,美国 / 加拿大,2002,9.1,1121197
摔跤吧！爸爸,涅提·蒂瓦里,剧情/家庭/传记/运动,印度,2016,9.0,1657876
天空之城,宫崎骏,动画/奇幻/冒险,日本,1986,9.2,949402
鬼子来了,姜文,剧情/喜剧,中国大陆,2000,9.3,671754
少年派的奇幻漂流,李安,剧情/奇幻/冒险,美国 / 中国台湾 / 英国 / 加拿大,2012,9.1,1422405
钢琴家,罗曼·波兰斯基,剧情/音乐/传记/战争,英国 / 法国 / 波兰 / 德国 / 美国,2002,9.3,698317
指环王2：双塔奇兵,彼得·杰克逊,剧情/动作/奇幻/冒险,美国 / 新西兰,2002,9.2,806757
大话西游之月光宝盒,刘镇伟,喜剧/爱情/奇幻/古装,中国香港 / 中国大陆,1995,9.0,1291699
闻香识女人,马丁·布莱斯特,剧情,美国,1992,9.1,959058
死亡诗社,彼得·威尔,剧情,美国,1989,9.2,805596
绿皮书,彼得·法雷里,剧情/喜剧/音乐/传记,美国 / 中国大陆,2018,8.9,1773565
大闹天宫,万籁鸣,剧情/动画/奇幻/古装,中国大陆,1961,9.4,474743
罗马假日,威廉·惠勒,剧情/喜剧/爱情,美国,1953,9.1,1000093
黑客帝国,莉莉·沃卓斯基,动作/科幻,美国,1999,9.1,893411
指环王1：护戒使者,彼得·杰克逊,剧情/动作/奇幻/冒险,新西兰 / 美国,2001,9.1,905200
教父2,弗朗西斯·福特·科波拉,剧情/犯罪,美国,1974,9.3,596689
天堂电影院,朱塞佩·托纳多雷,剧情/爱情,意大利 / 法国,1988,9.2,711639
狮子王,罗杰·阿勒斯,动画/歌舞/冒险,美国,1994,9.1,905527
辩护人,杨宇硕,剧情,韩国,2013,9.2,628043
饮食男女,李安,剧情/家庭,中国台湾 / 美国,1994,9.2,670913
搏击俱乐部,大卫·芬奇,剧情/动作/悬疑/惊悚,美国,1999,9.0,909402
本杰明·巴顿奇事,大卫·芬奇,剧情/爱情/奇幻,美国,2008,9.0,1048485
美丽心灵,朗·霍华德,剧情/传记,美国,2001,9.1,816347
穿条纹睡衣的男孩,马克·赫尔曼,剧情/战争,英国 / 美国,2008,9.2,608045
窃听风暴,弗洛里安·亨克尔·冯·多纳斯马尔克,剧情/悬疑,德国,2006,9.2,602604
情书,岩井俊二,剧情/爱情,日本,1995,8.9,1207464
两杆大烟枪,盖·里奇,剧情/喜剧/犯罪,英国,1998,9.1,637971
音乐之声,罗伯特·怀斯,剧情/爱情/歌舞/传记,美国,1965,9.1,645012
看不见的客人,奥里奥尔·保罗,剧情/悬疑/惊悚/犯罪,西班牙,2016,8.8,1363548
西西里的美丽传说,朱塞佩·托纳多雷,剧情/情色/战争,意大利 / 美国,2000,8.9,1040457
哈利·波特与死亡圣器(下),大卫·叶茨,奇幻/冒险,美国 / 英国,2011,9.0,899209
阿凡达,詹姆斯·卡梅隆,动作/科幻/冒险,美国,2009,8.8,1499436
拯救大兵瑞恩,史蒂文·斯皮尔伯格,剧情/战争,美国,1998,9.1,687953
功夫,周星驰,喜剧/动作/犯罪/奇幻,中国大陆 / 中国香港,2004,8.9,1238310
哈利·波特与阿兹卡班的囚徒,阿方索·卡隆,奇幻/冒险,英国 / 美国,2004,9.0,820252
小鞋子,马基德·马基迪,剧情/家庭/儿童,伊朗,1997,9.2,438836
飞越疯人院,米洛斯·福尔曼,剧情,美国,1975,9.1,577822
沉默的羔羊,乔纳森·戴米,剧情/惊悚/犯罪,美国,1991,8.9,957930
布达佩斯大饭店,韦斯·安德森,剧情/喜剧/冒险,美国 / 德国 / 英国,2014,8.9,1017731
蝴蝶效应,埃里克·布雷斯,剧情/科幻/悬疑/惊悚,美国 / 加拿大,2004,8.9,1005449
禁闭岛,马丁·斯科塞斯,剧情/悬疑/惊悚,美国,2010,8.9,1049990
致命魔术,克里斯托弗·诺兰,剧情/悬疑/惊悚,英国 / 美国,2006,8.9,916997
心灵捕手,格斯·范·桑特,剧情,美国,1997,9.0,772701
超脱,托尼·凯耶,剧情,美国,2011,9.0,669629
低俗小说,昆汀·塔伦蒂诺,剧情/喜剧/犯罪,美国,1994,8.9,900884
摩登时代,查理·卓别林,剧情/喜剧/爱情,美国,1936,9.3,325282
喜剧之王,周星驰,剧情/喜剧/爱情,中国香港,1999,8.8,1032117
春光乍泄,王家卫,剧情/爱情/同性,中国香港 / 日本 / 韩国,1997,9.0,674009
海豚湾,路易·西霍尤斯,纪录片,美国,2009,9.3,371257
致命ID,詹姆斯·曼高德,剧情/悬疑/惊悚,美国,2003,8.9,890846
哈利·波特与密室,克里斯·哥伦布,奇幻/冒险,英国 / 美国,2002,8.9,846338
杀人回忆,奉俊昊,剧情/动作/悬疑/惊悚/犯罪,韩国,2003,8.9,780327
美国往事,赛尔乔·莱昂内,剧情/犯罪,美国 / 意大利,1984,9.1,444764
一一,杨德昌,剧情/爱情/家庭,中国台湾 / 日本,2000,9.1,447001
红辣椒,今敏,科幻/动画/悬疑/惊悚,日本,2006,9.1,521993
七宗罪,大卫·芬奇,剧情/悬疑/惊悚/犯罪,美国,1995,8.8,1000789
唐伯虎点秋香,李力持,喜剧/爱情/古装,中国香港,1993,8.7,1155887
狩猎,托马斯·温特伯格,剧情,丹麦 / 瑞典,2012,9.1,430661
蝙蝠侠：黑暗骑士崛起,克里斯托弗·诺兰,剧情/动作/科幻/惊悚/犯罪,美国 / 英国,2012,8.9,771364
甜蜜蜜,陈可辛,剧情/爱情,中国香港,1996,8.9,619951
被嫌弃的松子的一生,中岛哲也,剧情/歌舞,日本,2006,8.8,741954
爱在黎明破晓前,理查德·林克莱特,剧情/爱情,美国 / 奥地利 / 瑞士,1995,8.8,744055
超能陆战队,唐·霍尔,喜剧/动作/科幻/动画/冒险,美国,2014,8.8,1084313
第六感,M·奈特·沙马兰,剧情/悬疑/惊悚,美国,1999,8.9,599219
寄生虫,奉俊昊,剧情,韩国,2019,8.8,1464414
重庆森林,王家卫,剧情/爱情,中国香港,1994,8.8,870985
入殓师,泷田洋二郎,剧情,日本,2008,8.9,711574
爱在日落黄昏时,理查德·林克莱特,剧情/爱情,美国 / 法国,2004,8.9,610211
请以你的名字呼唤我,卢卡·瓜达尼诺,剧情/爱情/同性,意大利 / 法国 / 巴西 / 美国,2017,8.8,778413
幽灵公主,宫崎骏,动画/奇幻/冒险,日本,1997,8.9,561836
剪刀手爱德华,蒂姆·波顿,剧情/爱情/奇幻,美国,1990,8.7,1082882
断背山,李安,剧情/爱情/同性/家庭,美国 / 加拿大,2005,8.8,745840
勇敢的心,梅尔·吉布森,剧情/动作/传记/历史/战争,美国,1995,8.9,583507
菊次郎的夏天,北野武,剧情/喜剧,日本,1999,8.9,639358
借东西的小人阿莉埃蒂,米林宏昌,动画/奇幻/冒险,日本,2010,8.9,593991
未麻的部屋,今敏,剧情/动画/悬疑/惊悚/犯罪,日本,1997,9.1,387332
哈利·波特与火焰杯,迈克·内威尔,悬疑/奇幻/冒险,英国 / 美国,2005,8.8,738421
消失的爱人,大卫·芬奇,剧情/悬疑/惊悚/犯罪,美国,2014,8.7,1021734
无人知晓,是枝裕和,剧情,日本,2004,9.1,350720
时空恋旅人,理查德·柯蒂斯,喜剧/爱情/奇幻,英国 / 美国,2013,8.8,735665
倩女幽魂,程小东,爱情/奇幻/武侠/古装,中国香港,1987,8.8,780970
完美的世界,克林特·伊斯特伍德,剧情/犯罪,美国,1993,9.1,340313
茶馆,谢添,剧情/历史,中国大陆,1982,9.6,179469
阳光灿烂的日子,姜文,剧情/爱情,中国大陆 / 中国香港,1994,8.8,656238
小森林 夏秋篇,森淳一,剧情,日本,2014,9.0,451188
天使爱美丽,让-皮埃尔·热内,剧情/喜剧/爱情,法国 / 德国,2001,8.7,990213
侧耳倾听,近藤喜文,剧情/爱情/动画,日本,1995,8.9,496116
驯龙高手,迪恩·德布洛斯,动画/奇幻/冒险,美国,2010,8.8,807130
头脑特工队,彼特·道格特,喜剧/动画/冒险,美国,2015,8.8,722693
教父3,弗朗西斯·福特·科波拉,剧情/犯罪,美国,1990,9.0,404818
怪兽电力公司,彼特·道格特,喜剧/动画/儿童/奇幻/冒险,美国,2001,8.8,725553
一个叫欧维的男人决定去死,汉内斯·赫尔姆,剧情,瑞典,2015,8.9,526069
幸福终点站,史蒂文·斯皮尔伯格,剧情/喜剧/爱情,美国,2004,8.8,609275
玩具总动员3,李·昂克里奇,喜剧/动画/奇幻/冒险,美国,2010,8.9,557319
小森林 冬春篇,森淳一,剧情,日本,2015,9.0,401212
色，戒,李安,剧情/爱情/情色,中国台湾 / 中国大陆 / 美国 / 中国香港,2007,8.7,893292
被解救的姜戈,昆汀·塔伦蒂诺,剧情/动作/西部/冒险,美国,2012,8.8,652706
釜山行,延尚昊,动作/惊悚/灾难,韩国,2016,8.6,1279141
神偷奶爸,皮埃尔·柯芬,喜剧/动画/冒险,美国 / 法国,2010,8.7,1001883
九品芝麻官,王晶,剧情/喜剧/古装,中国香港 / 中国大陆,1994,8.7,741356
哪吒闹海,王树忱,动画/奇幻/冒险,中国大陆,1979,9.2,279998
告白,中岛哲也,剧情/悬疑,日本,2010,8.8,709305
喜宴,李安,剧情/喜剧/爱情/同性/家庭,中国台湾 / 美国,1993,9.0,397999
玛丽和马克思,亚当·艾略特,剧情/喜剧/动画,澳大利亚 / 美国,2009,9.0,439966
模仿游戏,莫滕·泰杜姆,剧情/同性/传记/战争,英国 / 美国,2014,8.8,689789
头号玩家,史蒂文·斯皮尔伯格,动作/科幻/冒险,美国,2018,8.6,1444101
花样年华,王家卫,剧情/爱情,中国香港,2000,8.8,661928
大鱼,蒂姆·波顿,剧情/爱情/奇幻/冒险,美国,2003,8.8,599757
七武士,黑泽明,剧情/动作/冒险,日本,1954,9.3,215617
射雕英雄传之东成西就,刘镇伟,喜剧/奇幻/武侠/古装,中国香港,1993,8.7,680787
惊魂记,阿尔弗雷德·希区柯克,悬疑/惊悚/恐怖,美国,1960,9.0,328236
我是山姆,杰茜·尼尔森,剧情/家庭,美国,2001,9.0,358907
恐怖直播,金秉祐,剧情/悬疑/犯罪,韩国,2013,8.7,695246
三块广告牌,马丁·麦克唐纳,剧情/犯罪,英国 / 美国,2017,8.7,874622
心迷宫,忻钰坤,剧情/悬疑/犯罪,中国大陆,2014,8.8,574123
电锯惊魂,温子仁,悬疑/惊悚/恐怖,美国,2004,8.7,576144
小丑,托德·菲利普斯,剧情/惊悚/犯罪,美国 / 加拿大,2019,8.7,1079345
达拉斯买家俱乐部,让-马克·瓦雷,剧情/同性/传记,美国,2013,8.8,482115
疯狂原始人,柯克·德·米科,喜剧/动画/冒险,美国,2013,8.7,883513
背靠背，脸对脸,黄建新,剧情,中国大陆 / 中国香港,1994,9.5,158314
心灵奇旅,彼特·道格特,动画/音乐/奇幻,美国,2020,8.7,1063846
谍影重重3,保罗·格林格拉斯,动作/悬疑/惊悚,美国 / 德国 / 法国 / 英国,2007,8.8,445267
上帝之城,费尔南多·梅里尔斯,剧情/犯罪,巴西 / 法国,2002,9.0,318680
爱在午夜降临前,理查德·林克莱特,剧情/爱情,美国 / 希腊,2013,8.9,440466
海街日记,是枝裕和,剧情/家庭,日本,2015,8.8,488049
英雄本色,吴宇森,剧情/动作/犯罪,中国香港,1986,8.6,576501
风之谷,宫崎骏,动画/奇幻/冒险,日本,1984,8.9,376109
无间道2,刘伟强,剧情/惊悚/犯罪,中国香港,2003,8.8,527136
疯狂的石头,宁浩,喜剧/犯罪,中国大陆 / 中国香港,2006,8.6,878912
2001太空漫游,斯坦利·库布里克,科幻/惊悚/冒险,英国 / 美国,1968,8.9,365233
纵横四海,吴宇森,剧情/喜剧/动作/犯罪,中国香港,1991,8.8,453139
雨中曲,斯坦利·多南,喜剧/爱情/歌舞,美国,1952,9.1,248468
记忆碎片,克里斯托弗·诺兰,剧情/悬疑/惊悚/犯罪,美国,2000,8.7,639406
小偷家族,是枝裕和,剧情/家庭/犯罪,日本,2018,8.7,860293
无敌破坏王,瑞奇·摩尔,喜剧/动画/奇幻/冒险,美国,2012,8.7,579867
岁月神偷,罗启锐,剧情/家庭,中国香港 / 中国大陆,2010,8.7,595952
牯岭街少年杀人事件,杨德昌,剧情/犯罪,中国台湾,1991,8.9,337044
荒蛮故事,达米安·斯兹弗隆,剧情/喜剧/犯罪,阿根廷 / 西班牙,2014,8.8,472208
忠犬八公物语,神山征二郎,剧情,日本,1987,9.2,208237
恐怖游轮,克里斯托弗·史密斯,剧情/悬疑/惊悚,英国 / 澳大利亚,2009,8.5,933378
爆裂鼓手,达米恩·查泽雷,剧情/音乐,美国,2014,8.7,631062
东京教父,今敏,剧情/喜剧/动画,日本,2003,9.0,261588
魔女宅急便,宫崎骏,动画/奇幻/冒险,日本,1989,8.7,495647
末路狂花,雷德利·斯科特,剧情/惊悚/犯罪,美国 / 英国 / 法国,1991,9.0,301948
大佛普拉斯,黄信尧,剧情/喜剧,中国台湾,2017,8.7,514177
遗愿清单,罗伯·莱纳,剧情/喜剧/冒险,美国,2007,8.7,502288
贫民窟的百万富翁,丹尼·博伊尔,剧情/爱情,英国,2008,8.6,780525
高山下的花环,谢晋,剧情/战争,中国大陆,1984,9.5,125341
可可西里,陆川,剧情/犯罪,中国大陆 / 中国香港,2004,8.9,325878
城市之光,查理·卓别林,剧情/喜剧/爱情,美国,1931,9.3,160127
海边的曼彻斯特,肯尼思·洛纳根,剧情/家庭,美国,2016,8.6,604052
波西米亚狂想曲,布莱恩·辛格,剧情/同性/音乐/传记,英国 / 美国,2018,8.6,653152
黑天鹅,达伦·阿伦诺夫斯基,剧情/惊悚,美国,2010,8.6,815638
芙蓉镇,谢晋,剧情/爱情,中国大陆,1987,9.3,165161
爱乐之城,达米恩·查泽雷,剧情/爱情/歌舞,美国,2016,8.4,1021403
真爱至上,理查德·柯蒂斯,剧情/喜剧/爱情,英国 / 美国 / 法国,2003,8.5,772472
雨人,巴瑞·莱文森,剧情,美国,1988,8.7,426080
初恋这件小事,普特鹏·普罗萨卡·那·萨克那卡林,剧情/喜剧/爱情,泰国,2010,8.5,1018454
花束般的恋爱,土井裕泰,剧情/爱情,日本,2021,8.6,731078
终结者2：审判日,詹姆斯·卡梅隆,动作/科幻,美国 / 法国,1991,8.8,363340
人工智能,史蒂文·斯皮尔伯格,剧情/科幻,美国 / 英国,2001,8.7,476464
虎口脱险,热拉尔·乌里,喜剧/战争,法国 / 英国,1966,8.9,277636
恋恋笔记本,尼克·卡萨维蒂,剧情/爱情,美国,2004,8.5,715295
新龙门客栈,李惠民,动作/爱情/武侠/古装,中国香港 / 中国大陆,1992,8.7,476553
哈利·波特与死亡圣器(上),大卫·叶茨,奇幻/冒险,英国 / 美国,2010,8.6,635288
白日梦想家,本·斯蒂勒,剧情/喜剧/冒险,美国 / 英国,2013,8.6,573341
崖上的波妞,宫崎骏,动画/奇幻/冒险,日本,2008,8.6,539472
罗生门,黑泽明,剧情/悬疑/犯罪,日本,1950,8.8,337986
千钧一发,安德鲁·尼科尔,剧情/科幻/惊悚,美国,1997,8.8,325957
彗星来的那一夜,詹姆斯·沃德·布柯特,科幻/悬疑/惊悚,美国 / 英国,2013,8.6,637618
大红灯笼高高挂,张艺谋,剧情,中国大陆 / 中国香港 / 中国台湾,1991,8.8,327383
黑客帝国2：重装上阵,拉娜·沃卓斯基,动作/科幻,美国,2003,8.7,431967
萤火虫之墓,高畑勋,剧情/动画/战争,日本,1988,8.7,423565
火星救援,雷德利·斯科特,剧情/科幻/冒险,英国 / 美国 / 匈牙利 / 约旦,2015,8.5,786131
奇迹男孩,斯蒂芬·卓博斯基,剧情/家庭/儿童,美国 / 中国香港,2017,8.6,578062
机器人之梦,巴勃罗·贝格尔,剧情/动画/音乐,西班牙 / 法国,2023,9.0,233621
二十二,郭柯,纪录片,中国大陆,2015,8.7,304304
战争之王,安德鲁·尼科尔,剧情/犯罪,美国 / 德国,2005,8.7,394299
步履不停,是枝裕和,剧情/家庭,日本,2008,8.8,303137
血钻,爱德华·兹威克,剧情/惊悚/冒险,美国 / 德国 / 英国,2006,8.7,403598
千年女优,今敏,剧情/爱情/动画,日本,2001,8.8,296575
谍影重重2,保罗·格林格拉斯,动作/悬疑/惊悚,美国 / 德国,2004,8.7,376787
房间,伦尼·阿伯拉罕森,剧情/家庭,爱尔兰 / 加拿大 / 英国 / 美国,2015,8.8,386484
魂断蓝桥,茂文·勒鲁瓦,剧情/爱情/战争,美国,1940,8.8,296097
弱点,约翰·李·汉考克,剧情/家庭/传记/运动,美国,2009,8.7,336547
谍影重重,道格·里曼,动作/悬疑/惊悚,美国 / 德国 / 捷克,2002,8.6,458547
隐藏人物,西奥多·梅尔菲,剧情/传记/历史,美国,2016,8.9,244402
朗读者,史蒂芬·戴德利,剧情/爱情,美国 / 德国,2008,8.6,473176
阿飞正传,王家卫,剧情/爱情/犯罪,中国香港,1990,8.5,543779
电影名称,导演,电影类型,国家,上映年份,评分,评论人数
肖申克的救赎,弗兰克·德拉邦特,剧情/犯罪,美国,1994,9.7,3091326
霸王别姬,陈凯歌,剧情/爱情/同性,中国大陆 / 中国香港,1993,9.6,2281666
阿甘正传,罗伯特·泽米吉斯,剧情/爱情,美国,1994,9.5,2300955
泰坦尼克号,詹姆斯·卡梅隆,剧情/爱情/灾难,美国 / 墨西哥,1997,9.5,2341834
千与千寻,宫崎骏,剧情/动画/奇幻,日本,2001,9.4,2390186
美丽人生,罗伯托·贝尼尼,剧情/喜剧/爱情/战争,意大利,1997,9.5,1406041
这个杀手不太冷,吕克·贝松,剧情/动作/犯罪,法国 / 美国,1994,9.4,2438960
星际穿越,克里斯托弗·诺兰,剧情/科幻/冒险,美国 / 英国 / 加拿大,2014,9.4,2013974
盗梦空间,克里斯托弗·诺兰,剧情/科幻/悬疑/冒险,美国 / 英国,2010,9.4,2200451
楚门的世界,彼得·威尔,剧情/科幻,美国,1998,9.4,1872073
辛德勒的名单,史蒂文·斯皮尔伯格,剧情/历史/战争,美国,1993,9.5,1188572
忠犬八公的故事,拉斯·霍尔斯道姆,剧情,美国 / 英国,2009,9.4,1471331
海上钢琴师,朱塞佩·托纳多雷,剧情/音乐,意大利,1998,9.3,1785174
三傻大闹宝莱坞,拉吉库马尔·希拉尼,剧情/喜剧/爱情/歌舞,印度,2009,9.2,1969885
放牛班的春天,克里斯托夫·巴哈蒂,剧情/音乐,法国 / 瑞士 / 德国,2004,9.3,1397329
机器人总动员,安德鲁·斯坦顿,科幻/动画/冒险,美国,2008,9.3,1402533
疯狂动物城,拜伦·霍华德,喜剧/动画/冒险,美国,2016,9.2,2099722
无间道,刘伟强,剧情/惊悚/犯罪,中国香港,2002,9.3,1469853
控方证人,比利·怀尔德,剧情/悬疑/惊悚/犯罪,美国,1957,9.6,641795
大话西游之大圣娶亲,刘镇伟,喜剧/爱情/奇幻/古装,中国香港 / 中国大陆,1995,9.2,1623497
熔炉,黄东赫,剧情,韩国,2011,9.3,988206
教父,弗朗西斯·福特·科波拉,剧情/犯罪,美国,1972,9.3,1039516
触不可及,奥利维埃·纳卡什,剧情/喜剧,法国,2011,9.3,1211056
电影名称,导演,电影类型,国家,上映年份,评分,评论人数
电影名称,导演,电影类型,国家,上映年份,评分,评论人数
电影名称,导演,电影类型,国家,上映年份,评分,评论人数
电影名称,导演,电影类型,国家,上映年份,评分,评论人数
电影名称,导演,电影类型,国家,上映年份,评分,评论人数
电影名称,导演,电影类型,国家,上映年份,评分,评论人数
肖申克的救赎,弗兰克·德拉邦特,剧情/犯罪,美国,1994,9.7,3092513
霸王别姬,陈凯歌,剧情/爱情/同性,中国大陆 / 中国香港,1993,9.6,2282389
阿甘正传,罗伯特·泽米吉斯,剧情/爱情,美国,1994,9.5,2301706
泰坦尼克号,詹姆斯·卡梅隆,剧情/爱情/灾难,美国 / 墨西哥,1997,9.5,2342726
美丽人生,罗伯托·贝尼尼,剧情/喜剧/爱情/战争,意大利,1997,9.5,1406428
电影名称,导演,电影类型,国家,上映年份,评分,评论人数
肖申克的救赎,弗兰克·德拉邦特,剧情/犯罪,美国,1994,9.7,3095765
霸王别姬,陈凯歌,剧情/爱情/同性,中国大陆 / 中国香港,1993,9.6,2284590
阿甘正传,罗伯特·泽米吉斯,剧情/爱情,美国,1994,9.5,2304064
泰坦尼克号,詹姆斯·卡梅隆,剧情/爱情/灾难,美国 / 墨西哥,1997,9.5,2345201
千与千寻,宫崎骏,剧情/动画/奇幻,日本,2001,9.4,2393306
美丽人生,罗伯托·贝尼尼,剧情/喜剧/爱情/战争,意大利,1997,9.5,1407625
这个杀手不太冷,吕克·贝松,剧情/动作/犯罪,法国 / 美国,1994,9.4,2441820
星际穿越,克里斯托弗·诺兰,剧情/科幻/冒险,美国 / 英国 / 加拿大,2014,9.4,2017379
盗梦空间,克里斯托弗·诺兰,剧情/科幻/悬疑/冒险,美国 / 英国,2010,9.4,2203002
楚门的世界,彼得·威尔,剧情/科幻,美国,1998,9.4,1875394
辛德勒的名单,史蒂文·斯皮尔伯格,剧情/历史/战争,美国,1993,9.5,1189903
忠犬八公的故事,拉斯·霍尔斯道姆,剧情,美国 / 英国,2009,9.4,1472960
海上钢琴师,朱塞佩·托纳多雷,剧情/音乐,意大利,1998,9.3,1787848
三傻大闹宝莱坞,拉吉库马尔·希拉尼,剧情/喜剧/爱情/歌舞,印度,2009,9.2,1972292
放牛班的春天,克里斯托夫·巴哈蒂,剧情/音乐,法国 / 瑞士 / 德国,2004,9.3,1399068
机器人总动员,安德鲁·斯坦顿,科幻/动画/冒险,美国,2008,9.3,1404148
疯狂动物城,拜伦·霍华德,喜剧/动画/冒险,美国,2016,9.2,2103002
无间道,刘伟强,剧情/惊悚/犯罪,中国香港,2002,9.3,1471816
控方证人,比利·怀尔德,剧情/悬疑/惊悚/犯罪,美国,1957,9.6,643174
大话西游之大圣娶亲,刘镇伟,喜剧/爱情/奇幻/古装,中国香港 / 中国大陆,1995,9.2,1625325
熔炉,黄东赫,剧情,韩国,2011,9.3,989300
教父,弗朗西斯·福特·科波拉,剧情/犯罪,美国,1972,9.3,1040845
触不可及,奥利维埃·纳卡什,剧情/喜剧,法国,2011,9.3,1212898
寻梦环游记,李·昂克里奇,喜剧/动画/音乐/奇幻,美国,2017,9.1,1829436
当幸福来敲门,加布里埃莱·穆奇诺,剧情/家庭/传记,美国,2006,9.2,1610345
末代皇帝,贝纳尔多·贝托鲁奇,剧情/传记/历史,英国 / 意大利 / 中国大陆 / 法国,1987,9.3,963086
龙猫,宫崎骏,动画/奇幻/冒险,日本,1988,9.2,1345050
哈利·波特与魔法石,克里斯·哥伦布,奇幻/冒险,美国 / 英国,2001,9.2,1320345
怦然心动,罗伯·莱纳,剧情/喜剧/爱情,美国,2010,9.1,1950055
乱世佳人,维克多·弗莱明,剧情/爱情/历史/战争,美国,1939,9.3,742436
飞屋环游记,彼特·道格特,剧情/喜剧/动画/冒险,美国,2009,9.1,1416705
哈尔的移动城堡,宫崎骏,爱情/动画/奇幻/冒险,日本,2004,9.1,1193314
让子弹飞,姜文,剧情/喜剧/动作/西部,中国大陆 / 中国香港,2010,9.0,1818044
海蒂和爷爷,阿兰·葛斯彭纳,剧情/家庭/冒险,德国 / 瑞士,2015,9.3,703965
猫鼠游戏,史蒂文·斯皮尔伯格,剧情/传记/犯罪,美国 / 加拿大,2002,9.1,1125185
钢琴家,罗曼·波兰斯基,剧情/音乐/传记/战争,英国 / 法国 / 波兰 / 德国 / 美国,2002,9.3,700539
电影名称,导演,电影类型,国家,上映年份,评分,评论人数
电影名称,导演,电影类型,国家,上映年份,评分,评论人数
电影名称,导演,电影类型,国家,上映年份,评分,评论人数
电影名称,导演,电影类型,国家,上映年份,评分,评论人数
电影名称,导演,电影类型,国家,上映年份,评分,评论人数
电影名称,导演,电影类型,国家,上映年份,评分,评论人数
肖申克的救赎,弗兰克·德拉邦特,剧情/犯罪,美国,1994,9.7,3095937
霸王别姬,陈凯歌,剧情/爱情/同性,中国大陆 / 中国香港,1993,9.6,2284690
阿甘正传,罗伯特·泽米吉斯,剧情/爱情,美国,1994,9.5,2304168
千与千寻,宫崎骏,剧情/动画/奇幻,日本,2001,9.4,2393416
美丽人生,罗伯托·贝尼尼,剧情/喜剧/爱情/战争,意大利,1997,9.5,1407693
